Host,cidade,UF,SLA,Latitude,Longitude
1023433,SAO PAULO,SP, SP/RJ,-23.564314,-46.41551
1030531,CAMPOS DO JORDAO,SP, SP/RJ,-22.73358,-45.584312
1053789,SAO PAULO,SP, SP/RJ,-23.591565,-46.7977953
1035625,GUARULHOS,SP, SP/RJ,-23.43320555,-46.43433386
1020717,RONDONOPOLIS,MT, Demais Regioes,-16.466218,-54.630262
430943,BARUERI,SP, SP/RJ,-23.502657,-46.831389
1016872,MACEIO,AL, Regioes Metropolitanas,-9.6296166,-35.6988746
371726,MANAUS,AM, Regioes Metropolitanas,-3.108635,-60.02345
1050896,CRUZILIA,MG, MG/PR/MT,-21.8452951,-44.8152488
1086701,ITANHAEM,SP, SP/RJ,-24.18141573,-46.81283374
1090111,PONTA GROSSA,PR, MG/PR/MT,-25.12525389,-50.15573386
1017567,MANAUS,AM, Regioes Metropolitanas,-3.0629596,-60.0067479
1100306,BELO HORIZONTE,MG, MG/PR/MT,-19.80302,-43.9827
371530,MANAUS,AM, Regioes Metropolitanas,-3.0944241,-59.9901673
1023974,PARDINHO,SP, SP/RJ,-23.15862883,-48.37692878
1023888,ITABIRA,MG, MG/PR/MT,-19.640185,-43.219078
1041353,VITORIA DA CONQUISTA,BA, Demais Regioes,-14.8694513,-40.8575477
1039589,BELO HORIZONTE,MG, MG/PR/MT,-19.9072879,-43.930075
1034511,VARGINHA,MG, MG/PR/MT,-21.56469233,-45.42703396
1016729,FORTALEZA,CE, Regioes Metropolitanas,-3.7818281,-38.5872275
1042688,IRANDUBA,AM, Regioes Metropolitanas,-3.169841,-60.09251
1038104,PASSO FUNDO,RS, Demais Regioes,-28.28339712,-52.37319031
1047407,BOMBINHAS,SC, Regioes Metropolitanas,-27.1474,-48.4997
1090122,ITABUNA,BA, Demais Regioes,-14.8170276,-39.2906889
1033256,JOACABA,SC, Demais Regioes,-27.199492,-51.510619
1112140,SOROCABA,SP, Regioes Metropolitanas,-23.39788246,-47.37577469
1017840,VARZEA GRANDE,MT, MG/PR/MT,-15.656388,-56.128611
1039342,RIBEIRAO PRETO,SP, SP/RJ,-21.21484875,-47.79501038
1014490,MIRANDIBA,PE, Demais Regioes,-8.017837,-38.808377
81094,BELO HORIZONTE,MG, MG/PR/MT,-19.993434,-43.958942
1064068,DEODAPOLIS,MS, Demais Regioes,-22.264766,-54.224658
896632,SAO PAULO,SP, SP/RJ,-23.6126221,-46.6574345
543195,RECIFE,PE, Regioes Metropolitanas,-8.03693683,-34.94505527
1024730,BAURU,SP, SP/RJ,-22.31592793,-49.04387769
1023479,BELO HORIZONTE,MG, MG/PR/MT,-19.972315,-43.967167
1024178,SAO PAULO,SP, SP/RJ,-23.67324861,-46.71220462
1023222,SAO JOSE DO RIO PRETO,SP, SP/RJ,-20.808948,-49.396872
1094662,LONDRINA,PR, MG/PR/MT,-23.26090457,-51.18756677
1059032,SAO JOSE DO RIO PRETO,SP, SP/RJ,-20.799566,-49.345729
1104348,ITAPETINGA,BA, Demais Regioes,-15.24549875,-40.24945306
606600,SOROCABA,SP, SP/RJ,-23.4263883,-47.35917703
1036038,JOANOPOLIS,SP, SP/RJ,-22.93307177,-46.27791857
1015787,OSASCO,SP, SP/RJ,-23.5536377,-46.79439748
1047934,JUIZ DE FORA,MG, MG/PR/MT,-21.71450633,-43.40832529
1036999,ITABAIANINHA,SE, Demais Regioes,-11.27839246,-37.7841663
